┌----------------------------------------------------------------------------------------┐
| entry		  prot_name		 cover_status		 cross_referenced_regions|
└----------------------------------------------------------------------------------------┘
| P28223          5HT2A_HUMAN                all                              7		 |
| O95136          S1PR2_HUMAN                none                             0		 |
| P41587          VIPR2_HUMAN                none                             0		 |
| Q9HBX9          RXFP1_HUMAN                none                             0		 |
| P21731          TA2R_HUMAN                 none                             0		 |
| P30518          V2R_HUMAN                  none                             0		 |
| P37288          V1AR_HUMAN                 none                             0		 |
| P32241          VIPR1_HUMAN                none                             0		 |
| P13945          ADRB3_HUMAN                none                             0		 |
| Q9Y271          CLTR1_HUMAN                all                              7		 |
| Q9HAR2          AGRL3_HUMAN                none                             0		 |
| P32246          CCR1_HUMAN                 none                             0		 |
| P51684          CCR6_HUMAN                 all                              7		 |
| P25025          CXCR2_HUMAN                none                             0		 |
| Q8N6T6          CXCR1_HUMAN                all                              7		 |
| P08913          ADA2A_HUMAN                all                              7		 |
| P21730          C5AR1_HUMAN                all                              7		 |
| P34972          CNR2_HUMAN                 all                              7		 |
| Q16602          CALRL_HUMAN                all                              7		 |
| P30556          AGTR1_HUMAN                all                              7		 |
| P41597          CCR2_HUMAN                 all                              7		 |
| P51686          CCR9_HUMAN                 all                              7		 |
| Q9UPA4          CCR5_HUMAN                 all                              7		 |
| Q9UNN0          CNR1_HUMAN                 all                              7		 |
| O95977          S1PR4_HUMAN                none                             0		 |
| P08912          ACM5_HUMAN                 all                              7		 |
| P08173          ACM4_HUMAN                 all                              7		 |
| P32238          CCKAR_HUMAN                none                             0		 |
| Q9UKP6          UR2R_HUMAN                 none                             0		 |
| Q9BPV8          P2Y13_HUMAN                none                             0		 |
| Q9Y2T5          GPR52_HUMAN                all                              7		 |
└----------------------------------------------------------------------------------------┘
